day	month-year	itemname	amount	category
25	1-2021	haircut	25	grooming
25	2-2021	haircut	25	grooming
25	3-2021	haircut	25	grooming
25	4-2021	haircut	25	grooming
25	5-2021	haircut	25	grooming
25	6-2021	haircut	25	grooming
25	7-2021	haircut	25	grooming
25	8-2021	haircut	25	grooming
25	9-2021	haircut	25	grooming
25	10-2021	haircut	25	grooming
25	11-2021	haircut	25	grooming
25	12-2021	haircut	25	grooming
25	11-2021	check up	200	medicine
25	9-2021	check up	200	medicine
25	7-2021	check up	200	medicine
25	5-2021	check up	200	medicine
25	3-2021	check up	200	medicine
25	1-2021	check up	200	medicine
25	2-2021	dog food	150	pet
25	5-2021	dog food	150	pet
25	8-2021	dog food	150	pet
25	11-2021	dog food	150	pet
25	12-2021	suit	150	clothing
25	11-2021	shirt	24	clothing
25	10-2021	shirt	838	clothing
25	9-2021	shirt	82	clothing
25	8-2021	shirt	39	clothing
25	7-2021	shirt	22	clothing
25	8-2021	pants	22	clothing
25	7-2021	pants	69	clothing
25	6-2021	pants	58	clothing
25	7-2021	pants	39	clothing
25	4-2021	pants	96	clothing
25	4-2021	pants	17	clothing
25	3-2021	pants	178	clothing
25	2-2021	pants	88	clothing
25	1-2021	pants	77	clothing
31	1-2021	bus pass	50	transportation
31	2-2021	bus pass	50	transportation
31	3-2021	bus pass	50	transportation
31	4-2021	bus pass	50	transportation
31	5-2021	bus pass	50	transportation
31	6-2021	bus pass	50	transportation
31	7-2021	bus pass	50	transportation
31	8-2021	bus pass	50	transportation
31	9-2021	bus pass	50	transportation
31	10-2021	bus pass	50	transportation
31	11-2021	bus pass	50	transportation
31	12-2021	bus pass	50	transportation
31	12-2021	groceries	63	food
31	11-2021	groceries	36	food
31	10-2021	groceries	52	food
31	8-2021	groceries	52	food
31	7-2021	groceries	14	food
31	6-2021	groceries	47	food
31	5-2021	groceries	84	food
31	4-2021	groceries	58	food
31	3-2021	groceries	81	food
31	2-2021	groceries	75	food
31	1-2021	groceries	86	food
31	5-2021	hammer	86	utilities
31	11-2021	tool box	400	utilities
31	1-2021	movie	35	
31	2-2021	movie	35	
31	3-2021	movie	35	
31	4-2021	movie	35	
31	5-2021	movie	35	
31	6-2021	movie	35	
31	7-2021	movie	35	
31	8-2021	movie	35	
31	9-2021	movie	35	
31	10-2021	movie	35	
31	11-2021	movie	35	
31	12-2021	movie	35	
